pair_id,pdb_id,uniprot_id,common_residues,rmsd,quality_certified,clean_pdb_file,clean_af_file,aligned_af_file,size_category_v2,quality_category_v2,scientific_usability
6LUV_P00918,6LUV,P00918,260,7.187453397076559e-15,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6LUV_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6LUV_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6LUV_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
8RBP_P00918,8RBP,P00918,257,0.4074719226640734,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8RBP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8RBP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8RBP_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
6YO7_P00918,6YO7,P00918,257,0.4330392683459687,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6YO7_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6YO7_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6YO7_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
6YMA_P00918,6YMA,P00918,260,7.187453397076559e-15,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6YMA_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6YMA_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6YMA_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
1YO0_P00918,1YO0,P00918,258,0.6146020394571197,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/1YO0_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/1YO0_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/1YO0_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
8OKP_P00918,8OKP,P00918,257,0.3968508048095636,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OKP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OKP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OKP_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
8OKO_P00918,8OKO,P00918,257,0.4113855752514563,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OKO_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OKO_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OKO_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
8OMB_P00918,8OMB,P00918,258,0.6054966648781361,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OMB_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OMB_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OMB_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
4Z1J_P00918,4Z1J,P00918,258,0.5914669583932941,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/4Z1J_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/4Z1J_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/4Z1J_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
4Z1K_P00918,4Z1K,P00918,257,0.4095321557229629,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/4Z1K_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/4Z1K_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/4Z1K_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
4Z1N_P00918,4Z1N,P00918,258,0.5927204656065065,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/4Z1N_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/4Z1N_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/4Z1N_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
1OKL_P00918,1OKL,P00918,256,0.4754267483152189,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/1OKL_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/1OKL_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/1OKL_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
3RG4_P00918,3RG4,P00918,256,0.4754267483152189,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/3RG4_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/3RG4_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/3RG4_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
7ONM_P00918,7ONM,P00918,255,0.3975226900950981,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/7ONM_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/7ONM_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/7ONM_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
4MTY_P00918,4MTY,P00918,258,0.6148715123044226,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/4MTY_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/4MTY_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/4MTY_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
7ONV_P00918,7ONV,P00918,255,0.4362540561657744,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/7ONV_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/7ONV_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/7ONV_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
7ONQ_P00918,7ONQ,P00918,254,0.3610994210100878,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/7ONQ_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/7ONQ_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/7ONQ_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
6YKH_P00918,6YKH,P00918,257,0.4306172224136998,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6YKH_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6YKH_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6YKH_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
7OYP_P00918,7OYP,P00918,258,0.4381574981661542,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/7OYP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/7OYP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/7OYP_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
7OYO_P00918,7OYO,P00918,257,0.4170094030460808,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/7OYO_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/7OYO_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/7OYO_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
8OKG_P00918,8OKG,P00918,257,0.4276983675675638,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OKG_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OKG_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OKG_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
8OKT_P00918,8OKT,P00918,258,0.5839025237651326,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OKT_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OKT_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OKT_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
8OMH_P00918,8OMH,P00918,258,0.6080169690016825,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OMH_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OMH_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OMH_P00918_aligned.pdb,Sweet Spot (250-300),Excelente,Gold Standard
8OMP_P00918,8OMP,P00918,260,7.187453397076559e-15,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/8OMP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/8OMP_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/8OMP_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
6RZX_P00918,6RZX,P00918,257,0.3945522782559849,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6RZX_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6RZX_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6RZX_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
6S03_P00918,6S03,P00918,257,0.3996320990230999,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/6S03_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/6S03_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/6S03_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
3P44_P00918,3P44,P00918,257,0.4137605086345287,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/3P44_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/3P44_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/3P44_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
3P55_P00918,3P55,P00918,257,0.4069373919244511,True,/home/antonio-tapia/alphafold-project/data/processed/clean_pdb/3P55_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/clean_alphafold/3P55_P00918_clean.pdb,/home/antonio-tapia/alphafold-project/data/processed/aligned_pairs/3P55_P00918_aligned.pdb,Sweet Spot (250-300),Excepcional,Gold Standard
