PDB,SP_PRIMARY,CHAIN
7WJI,Q9P2D8,B
9NJU,Q869W9,A
6ZWM,P42345,A
8VDP,P26039,A
6R9T,Q9Y490,A
5GMK,P33334,A
9B8S,Q07864,A
7TC0,O95477,A
8FHS,Q13936,A
7KVF,P12259,B
3JCM,P32639,N
9D0T,P43583,O
6LQA,Q14524,B
7MF3,P10587,G
3CMU,P0A7G6,A
7B0Y,P11414,A
2Q7Z,P17927,A
7ZPK,Q8R418,A
8S9P,O75096,B
6U5V,P43098,A
7V0X,P16157,J
6MZD,P21675,A
3JBR,P07293,A
7QJ9,Q96RT7,c
7F60,P52948,D
8Z9Y,P56785,A
7KWO,P00451,A
7W7G,Q6Q760,C
9BW6,Q9UKK3,D
7TJ8,Q01118,A
6WCJ,P49951,G
8OST,Q5TAX3,A
8OQ3,P01024,A
7U24,Q09427,E
9C12,Q92887,A
7Y1K,Q63563,A
4XLS,Q9KWU6,D
1LLZ,P55038,A
6S6U,Q05755,E
8OPP,Q5VYS8,A
7O7L,P01023,B
9GD3,P32657,W
7UT4,P39993,A
7EU0,Q9LQ02,A
8PBY,P20796,B
7Q60,A8K2U0,A
8T1K,P29476,B
7MO7,P08581,B
8U4C,P06213,B
7STI,P15208,A
7EMF,Q9ULK4,W
9ASO,Q9NRR4,A
8T9L,P39685,B
8C8G,A0A069CUU9,A
2CKJ,P47989,B
3UNC,P80457,B
4F4C,P34712,A
5N0B,P04958,A
6V3F,Q6T3U3,A
7TYM,P14616,B
5JA2,P11454,A
6G5F,P10844,A
8Q9T,P35207,A
8W41,Q9UM54,A
8PQW,A0A287B8J2,G
7NIV,P21439,A
8PPT,Q9V2F4,B
8DKC,Q7MX27,C
7K65,Q61115,A
5MZ6,G5ED39,1
3JBT,O14727,K
8FH3,Q9HBG6,B
7PLM,P94692,B
8HI4,A7NN59,A
6KLB,A0A5S8WF58,A
8P5R,A0R2B1,C
5NZS,Q8CIE6,A
8P5W,Q8NRC3,C
2HPM,Q9XDH5,A
9B93,Q8TD43,D
3GAU,P08603,A
8I54,A0A9Y2YAH1,A
9EWZ,P0DUF9,C
6RQH,P22138,B
5U76,Q8QFV0,A
8HMC,Q22U89,B
8XA7,P37870,C
5MSV,E5XP76,C
8IMO,A0AAJ6N6G5,5
4GFH,P06786,F
8BYP,A0A9Y2YAG0,N
8YB4,P14713,B
8JE2,Q8TF40,H
8IOB,Q12809,C
3BG5,A0A0H3JRU9,C
8GK8,A0A3A5LTU8,D
7Y3E,Q9LKW9,B
5JK7,Q16531,B
8QOY,A0A2S0ETM3,A
6ZA2,B2RGP6,A
6RJD,Q03LF7,C
5TJG,Q9KWU7,C
8IBW,V9H052,C
5W0V,Q6CMF0,B
7MEZ,P48736,A
8AJ8,O02697,A
8R4D,Q8KC98,A
8G1F,P53396,D
8SYI,Q31N17,C
7V55,Q9HYC2,A
6XU2,O00410,A
8S7C,Q6PDJ1,G
7BVF,P9WNL9,A
5MQS,Q8A8Z7,A
7USM,P11215,A
7BVC,A0R613,A
5OWU,P20676,B
7BVH,A0R612,A
1CE8,P00968,C
8WND,P09436,B
5LJ5,P15938,Q
7DD5,A0A8I3AZV5,B
4A55,P42337,A
8DEW,Q5F725,A
6NR7,P12003,A
8CDD,O97302,A
7M4Q,Q2FD94,B
3HQV,P02454,C
1GL9,O29238,B
6Z12,Q8ZRA7,A
3KSY,Q07889,A
7ZU0,Q07468,E
3W9J,P52002,A
4F1N,A7TMA9,A
5IS5,O35904,A
5T4Y,Q8A6W3,D
6F2P,A0A493R6T1,A
9AXL,P08514,A
7BST,P10486,B
8DMG,P14779,B
5YLV,P19156,A
5J44,Q8VSL2,A
7Q3L,Q7L014,p
8C0V,P33760,B
5AW8,Q4H132,A
3HR2,P02466,B
1H7W,Q28943,A
3OBA,P00723,A
6DRV,P00722,C
8FVU,Q9NPP4,B
1YQ2,Q8KRF6,A
7MN5,P21860,A
7YKE,P59807,A
9EP4,Q6P9B9,B
7STL,P30572,B
